Stage,type,Name,PM,PC1,PC2,PC3,PC4,maha
2.5-4 m,UE,Nodogro,3.25,-79.12329342782776,15.517011110095185,0.49736198409961385,20.231092578933186,2.5600927745914595
2.5-4 m,UE,Nodogro,3.75,25.50910302582975,44.00116676499276,1.4076985194239382,4.184725885441582,1.2450671578620671
2.5-4 m,VPA,Bach,2.5,-283.4319746110888,-21.81845233352825,-6.058799485463757,30.14693371803609,8.666362345109162
2.5-4 m,VPA,Bach,3,32.161431886252934,54.18130390619179,0.5318376907139448,22.66027897989498,2.879068193587061
2.5-4 m,VPA,Bach,3.75,-14.871273966369872,46.816638978739434,0.385556621283201,12.859531219281747,1.737446265468901
2.5-4 m,VPA,Brahms,3.25,34.103293971955324,50.17378981262748,0.16063966047649356,8.9521936779846,1.2459315511339422
2.5-4 m,VPA,Brahms,4,11.44416496504277,38.095600080808246,1.8026402576999176,2.982602629280746,1.0654206731110247
2.5-4 m,VPA,Camaro,2.75,1.433017475467653,7.444443630141061,-6.490516124991756,11.137544383565793,1.8955170212014778
2.5-4 m,VPA,Camaro,3.25,10.249212766993356,25.64835581212076,-2.6788145228134215,14.503623109908096,1.0542788592206926
2.5-4 m,VPA,Camaro,3.75,45.36209452024122,26.889812736583075,-2.205409207692759,14.480476251896553,1.7542969641580248
2.5-4 m,VPA,Cheecama,2.75,-111.84276972549101,13.782108301326316,-1.9190318928776193,4.641051260905687,2.629949660121808
2.5-4 m,VPA,Cheecama,3.25,96.77361825301233,56.33855709891982,0.2153168434968049,-8.361433923969654,8.113311707567078
2.5-4 m,VPA,Cheecama,3.75,82.70199588602706,50.67473590718754,-1.4982775836695073,-22.873828492976013,24.63725895435827
2.5-4 m,VPA,Chevrolet,2.75,-22.784983359866672,-40.487274766903525,-14.25802774526264,22.627342761815097,20.683010291713355
2.5-4 m,VPA,Chevrolet,3.25,12.436874017502296,-55.63494800271161,-19.068581720547822,18.343684329788093,26.826336225887474
2.5-4 m,VPA,Chevrolet,3.75,93.57917470132422,10.08672332592539,6.030214200595466,5.843883679951369,11.023846420559318
2.5-4 m,VPA,Ipsum,2.75,154.13807306457946,-592.5430099381344,-112.67221563509479,3.732807877879111,1152.1934161014883
2.5-4 m,VPA,Ipsum,3.25,125.79913644462556,48.040193957726686,-0.3282264037737984,-9.354613797056196,5.904743240938023
2.5-4 m,VPA,Ipsum,3.75,113.06623144587637,32.053737021105384,-2.3635553465165713,1.6622787275195656,1.4334939812835483
2.5-4 m,VPA,Isis,2.75,116.57139147380475,-49.06633653111931,-18.54921640385192,-33.73811763705965,33.49774716412617
2.5-4 m,VPA,Isis,3.25,143.49906842319888,-231.14186248955926,-54.40678757089067,-18.263394426800634,180.72162770657843
2.5-4 m,VPA,Sasacama,2.75,91.19681683089028,52.12077235417874,-0.4538528969267035,-52.344821779237854,82.2244591793102
2.5-4 m,VPA,Sasacama,3.25,-3.4664187662173633,42.621144460201826,-1.240723133794174,-21.510542615938117,27.77090261901769
4-5.5 m,UE,Belarus,4.25,47.69088176398265,48.412609810256846,1.2636260765727503,8.816655719353433,0.5310087175357832
4-5.5 m,UE,Belarus,4.75,15.59280396556633,48.191942478347805,1.689605213166658,4.106287180667751,2.5021565369789247
4-5.5 m,UE,Belarus,5.25,-12.582679370587064,38.59473125942518,0.6421580265078305,18.981193825214042,3.3636143379458128
4-5.5 m,UE,Belladonna,4.75,59.675119702797076,51.30222251167863,1.4493187946968664,14.867242213653178,1.1308829309000359
4-5.5 m,UE,Belladonna,5.25,16.160148676247864,46.214299466380766,1.2798572019714918,-0.9896132062932136,4.5851637672170416
4-5.5 m,UE,Chlocks,4.25,86.59320395210075,38.99203867702813,4.854908109820993,-7.116549790673216,4.936861480473383
4-5.5 m,UE,Chlocks,5.5,-29.046008771944603,41.35337353445551,10.61382151419777,15.182237210818965,8.41005720782061
4-5.5 m,UE,Genge,4.25,124.84821379456362,59.11234808347009,0.9677587713164397,6.821788406383714,1.5874667556648903
4-5.5 m,UE,Genge,4.75,129.90686768925767,63.81694744214077,3.6249375955988183,9.87315209254807,1.9329191801464218
4-5.5 m,UE,Genge,5.5,129.6507542300668,64.62181813067127,3.528692263944616,7.615992099606041,1.7045995854876266
4-5.5 m,UE,Nodogro,4.25,55.49543569120321,7.138090246464801,-4.05650101985021,14.274029074379165,9.765486744017263
4-5.5 m,UE,Nodogro,5,130.89537533169226,65.07103227929346,3.4109732213835917,9.976937431383606,2.0882568722365686
4-5.5 m,UE,Nodogro,5.5,120.06246131819539,42.51476017246937,8.727243916090138,0.8527623691808925,5.461525883575641
4-5.5 m,VPA,Bach,4.25,-21.591939317192,38.71101874572248,-1.4987134644077593,17.005637145479632,4.37024066716568
4-5.5 m,VPA,Bach,5,-121.31370163970797,33.20333475963148,-1.9475141945556482,9.400778717875681,15.710207540627993
